AA	總論{{一}}
BB	千金方
CC	論大醫習業
ZZ	凡欲爲大醫, 必須諳素問ㆍ甲乙ㆍ黃帝鍼經ㆍ明堂流注ㆍ十二經脉ㆍ三部九候ㆍ五臟六腑ㆍ表裏孔穴ㆍ本草ㆍ藥對, 張仲景ㆍ王叔和ㆍ阮河南ㆍ范東陽ㆍ張苗ㆍ靳邵等諸部經方, 又須妙觧陰陽祿命ㆍ諸家相法, 及灼龜五兆ㆍ周易六壬, 並須精熟, 如此乃得爲大醫; 若不爾者, 如無目夜遊, 動致顚殞. 次須熟讀此方, 尋思妙理, 留意鑽硏, 始可與言於醫道者矣. 又須涉獵群書. 何者? 若不讀五經, 不知有仁義之道; 不讀三史, 不知有古今之事; 不讀諸子, 覩事則不能默而識之; 不讀內經, 則不知有慈悲喜捨之德; 不讀莊老, 不能任眞體運, 則吉㐫拘忌, 觸塗而生. 至於五行休王ㆍ七耀天文, 並須探賾. 若能具而學之, 則於醫道無所滯礙, 盡善盡美哉.
CC	論大醫精誠
ZZ	張湛曰: 夫經方之難精, 由來尙矣. 今病有內同而外異, 亦有內異而外同, 故五臟六腑之盈虛, 血脉榮衛之通塞, 固非耳目之所察, 必先診候以審之. 而寸口關尺有浮沈弦緊之亂, 兪穴流注有高下淺深之差, 肌膚筋骨有厚薄剛柔之異, 唯用心精微者, 始可與言於茲矣. 今以至精至微之事, 求之於至粗至淺之思, 豈不殆哉. 若盈而益之, 虛而損之, 通而徹之, 塞而壅之, 寒而冷之, 熱而溫之, 是重加其疾而望其生, 吾見其死矣. 故醫方卜筮, 藝能之難精者也, 旣非神授, 何以得其幽微. 世有愚者讀方三年, 便謂天下無病可治; 及治病三年, 乃知天下無方可用. 故學者必須博極醫源, 精勤不倦, 不得道聽塗說而言醫道已了, 深自誤哉. 凡大醫治病, 必當安神定志, 無欲無求, 先發大慈惻隱之心, 誓願普救含靈之苦. 若有疾厄來求救者, 不得問其貴賤貧富, 長幼姸蚩, 怨親善友, 華夷愚智, 普同一等, 皆如至親之想; 亦不得瞻前顧後, 自慮吉凶, 護惜身命. 見彼苦惱, 若己有之, 深心悽愴, 勿避嶮巇ㆍ晝夜ㆍ寒暑ㆍ飢渴ㆍ疲勞, 一心赴救, 無作工夫形迹之心. 如此可爲蒼生大醫, 反此則是含靈巨賊. 自古名賢治病, 多用生命以濟危急, 雖曰賤畜貴人, 至於愛命人畜一也, 損彼益己, 物情同患, 況於人乎. 夫殺生求生, 去生更遠, 吾今此方所以不用生命爲藥者, 良由此也. 其蝱蟲ㆍ水蛭之屬, 市有先死者則市而用之, 不在此例. 只如雞卵一物, 以其混沌未分, 必有大段要急之處, 不得已, 隱忍而用之, 能不用者斯爲大哲, 亦所不及也. 其有患瘡痍下痢, 臭穢不可瞻視, 人所惡見者, 但發慚愧悽憐憂恤之意, 不得起一念蔕芥之心, 是吾之志也. 夫大醫之體, 欲得澄神內視, 望之儼然, 寬裕汪汪, 不皎不昧, 省病診疾, 至意深心, 詳察形候, 纖毫勿失, 處判針藥, 無得參差, 雖曰病宜速救, 要須臨事不惑, 唯當審諦覃思, 不得於性命之上, 率爾自逞俊快, 邀射名譽, 甚不仁矣. 又到病家, 縱綺羅滿目, 勿左右顧盻, 絲竹湊耳, 無得似有所娛, 珍羞迭薦, 食如無味, 醽醁兼陳, 看有若無. 所以爾者, 夫一人向隅, 滿堂不樂, 而況病人苦楚, 不離斯須, 而醫者安然懽娛, 傲然自得, 茲乃人神之所共恥, 至人之所不爲, 斯盖醫之本意也. 夫爲醫之法, 不得多語調笑, 談謔諠譁, 道說是非, 議論人物, 衒燿聲名, 訾毀諸醫, 自矜己德, 偶然治瘥一病, 則昂頭戴面而有自許之貌, 謂天下無雙, 此醫人之膏肓也. 老君曰: 人行陽德, 人自報之; 人行陰德, 鬼神報之, 人行陽惡, 人自報之; 人行陰惡, 鬼神害之. 尋此二途, 陰陽報施, 豈誣也哉. 所以醫人不得恃己所長, 專心經略財物, 但作救苦之心, 於冥運道中, 自感多福者耳. 又不得以彼富貴, 處以珍貴之藥, 令彼難求, 自衒功能, 諒非忠恕之道. 志存救濟, 故亦曲碎論之, 學者不可恥言之鄙俚也.
CC	論治病略例
ZZ	夫天布五行以植萬類, 人稟五常以爲五臟, 經絡腑輸, 陰陽會通, 玄冥幽微, 變化難極, 易曰: 非天下之至賾, 其孰能與於此. 觀今之醫, 不念思求經旨, 以演其所知, 各承家伎, 始終循舊, 省病問疾, 務在口給, 相對斯須, 便處湯藥, 按寸不及尺, 握手不及足, 人迎趺陽, 三部不參, 動數發息, 不滿五十, 短期未知決診, 九候曾無髣髴, 明堂闕庭, 盡不見察, 所謂窺管而已. 夫欲視死別生, 固亦難矣. 此皆醫之深戒, 病者可不謹以察之而自防慮也. 古來醫人皆相嫉害, 扁鵲爲秦太醫令李䤈所害, 卽其事也. 一醫處方, 不得使別醫和合, 脫或私加毒藥, 令人增疾, 漸以致困, 如此者非一, 特須愼之, 寧可不服其藥以任天眞, 不得使愚醫相嫉, 賊人性命, 甚可哀傷.
ZZ	夫百病之本, 有中風傷寒, 寒熱溫瘧, 中惡霍亂, 大腹水腫, 腸澼下痢, 大小便不通, 賁豚上氣, 欬逆嘔吐, 黃疸消渴, 留飮癖食, 堅積癥瘕, 驚邪癲癎鬼疰, 喉痺齒痛, 耳聾目盲, 金瘡踒折, 癰腫惡瘡, 痔瘻瘤癭, 男子五勞七傷, 虛乏羸瘦, 女子帶下崩中, 血閉陰蝕, 蟲蛇蠱毒所傷, 此皆大略宗兆, 其閒變動枝葉, 各依端緖以取之. 又有冷熱勞損, 傷飽房勞, 驚悸恐懼, 憂恚怵惕; 又有產乳落胎, 墮下瘀血; 又有貪餌五石, 以求房中之樂. 此皆病之根源爲患, 生諸枝葉也. 不可不知其本末, 但向醫說男女長幼之病, 有半與病源相附會者, 便可服藥也. 男子者衆陽所歸, 常居於燥, 陽氣遊動, 強力施泄, 便成勞損損傷之病, 亦以衆矣. 若比之女人, 則十倍易治. 凡女子十四已上則有月事, 月事來日, 得風冷濕熱四時之病相協者, 皆自說之, 不爾與治, 誤相觸動, 更增困也. 處方者亦應問之. 凡用藥皆隨土地所宜. 江南嶺表, 其地暑濕, 其人肌膚薄脆, 腠理開踈, 用藥輕省. 關中河北, 土地剛燥, 其人皮膚堅硬, 腠理閉塞, 用藥重複. 世有少盛之人, 不避風濕, 觸犯禁忌, 暴竭精液, 雖得微疾, 皆不可輕以利藥下之, 一利大重, 竭其精液, 困滯著牀, 動經年月也. 凡長宿病, 宜服利湯, 不須盡劑, 候利之足則止; 病源未除者, 於後更合耳. 稍有氣力堪盡劑, 則不論也. 病源須服利湯取除者, 服利湯後, 宜將丸散時時助之.
ZZ	凡病服利湯得瘥者, 此後愼不中服補湯也. 若得補湯, 病勢還復成也. 更重瀉之, 則其人重受弊也. 若初瘥氣力未甚平復者, 但消息之, 須服藥者, 當以平藥和之. 夫常患之人, 不妨行走. 氣力未衰, 欲將補益冷熱隨宜丸散者, 可先服利湯瀉除胷腹中擁積痰實, 然後可服補藥也. 夫極虛勞應服補湯者, 不過三劑卽止. 若治風病應服治風湯者, 皆非三五劑可知也, 自有滯風洞虛, 卽服十數劑乃至百餘日可瘥也. 故曰實卽瀉之, 虛則補之.
ZZ	夫二儀之內, 陰陽之中, 唯人最貴. 人者稟受天地中和之氣, 法律禮樂莫不由人. 人始生先成其精, 精成而腦髓生, 頭圓法天, 足方象地, 眼目應日月, 五臟法五星, 六腑法六律, 以心爲中極, 大腸長一丈二尺以應十二時, 小腸長二丈四尺以應二十四氣, 身有三百六十五絡以應一歲, 人有九竅以應九州. 天有寒暑, 人有虛實; 天有刑德, 人有愛憎; 天有陰陽, 人有男女; 月有大小, 人有長短. 所以服食五穀不能將節, 冷熱鹹苦更相棖觸, 共爲攻擊, 變成疾病, 凡醫診候, 固是不易. 又問而知之, 別病深淺, 名曰巧醫. 仲景曰: 凡欲和湯合藥針灸之法, 宜應精思, 必通十二經脉, 辨三百六十孔穴, 榮衛氣行, 知病所在, 宜治之法不可不通. 古者上醫相色, 色脉與形不得相失, 黑乘赤者死, 赤乘青者生. 中醫聽聲, 聲合五音, 火聞水聲, 煩悶{千=干@『備急千金要方』}驚, 木聞金聲, 恐畏相刑, 脾者土也, 生育萬物, 廻助四傍, 善者不見, 死則歸之, 太過則四肢不擧, 不及則九竅不通, 六識閉塞, 猶如醉人, 四季運轉, 終而復始. 下醫診脉, 知病源由, 流轉移動, 四時逆順, 相害相生, 審知臟腑之微, 此乃爲妙也.
